0x00   | 63808 67.40%| 66000 69.72%| 64267 67.89%| 36197 38.24%| 44128 46.61%| 52360 55.31%| 45860 48.44%|  1257  1.33%|
0xc2   |     0  0.00%|     0  0.00%|     0  0.00%|  1199  1.27%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc3   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc4   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc5   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc6   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc7   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc8   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xc9   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xca   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xcb   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xcc   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xcd   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xce   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xcf   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|  1208  1.28%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd0   |  4827  5.10%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd1   |     0  0.00%|     0  0.00%|     0  0.00%|  1214  1.28%|    13  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd2   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd3   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd4   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    13  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd5   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd6   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd7   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd8   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xd9   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xda   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xdb   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xdc   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xdd   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xde   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     1  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xdf   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe0   |     0  0.00%|     0  0.00%|     0  0.00%|  1214  1.28%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe1   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe2   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe3   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe4   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe5   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe6   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe7   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe8   |     0  0.00%|  1200  1.27%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xe9   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    11  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xea   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xeb   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xec   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xed   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xee   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xef   |     0  0.00%|   163  0.17%|     0  0.00%|     0  0.00%|     9  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf0   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf1   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf2   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     6  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf3   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf4   |     0  0.00%|     0  0.00%|     0  0.00%|  4218  4.46%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf5   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf6   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf7   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     5  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf8   |     0  0.00%|     0  0.00%|     0  0.00%|   610  0.64%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xf9   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xfa   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|    12  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xfb   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     7  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xfc   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     3  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xfd   |   489  0.52%|     0  0.00%|   489  0.52%|     0  0.00%|     8  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
0xfe   |     0  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|     4  0.00%|     0  0.00%|     0  0.00%|     0  0.00%|
0xff   |     0  0.00%|  2399  2.53%|     0  0.00%|  1200  1.27%|    10  0.01%|     0  0.00%|     0  0.00%|     0  0.00%|
